Tweets,Output
"@JioCare there is a huge network problem in my locality. Shifted from other network to Jio expecting better services but still facing same issues. Request you to help resolve the same. Address: Rustomjee Azziano, Majiwada, Thane west",1
Dog menace has increased in our society @lodhaluxuria majiwada one of the dog tried to bite my father 2 days back.. more incidents are been reported of street dogs biting senior citizens and kids in the premises help is appreciated @TMCaTweetAway,1
"Yoga Hall : Most people have no idea how good their body is designed to feel. One of the most thoughtfully designed township in India, Rustomjee Urbania offers 2 &amp; 3 BHK apartments. #Thane #Majiwada #Mumbai https://t.co/X7ZGqAgvrN",0
Thank you. Regarding your issue of bus from Majiwada gaon to kopri I am in the process of taking up with authorities.,0
@ashwinreddy1 @KDMCOfficial @AmhiDombivlikar @DombivliNews But TMC has beat KDMC. I hv counted more at a single stretch on the service road near Majiwada. So TMC wins. Score TMC 4 KDMC 1,0
@AsifRazaKhan007 @MMRDAOfficial @nitin_gadkari @OfficeofUT @mybmc @KDMCOfficial @PMOIndia @narendramodi @timesofindia @ndtvindia Travelling from Thane Majiwada to Ranjnouli naka on Nashik Highway is not less than a roller coaster ride.....with uncountable pot holes and horrible condition of road which definitely guarantee the back pain.,1
@TOIMumbai @mieknathshinde @AUThackeray @MMRDAOfficial @rais_shk @ThaneCityPolice @Dev_Fadnavis its humble request to all of dignitaries. pls take action on daily traffic from majiwada to mankoli. Its taking 3 hrs daily to travel. Pls solve prblm Due to potholes at saket brdge,1
"@TMCaTweetAway because you people took away dustbin at Majiwada Gaon road near Public toilet people have started throwing garbage in Chowgule mangrove forest, kindly bring dustbin ! #mumbai #thane https://t.co/FoPGMEPx2f",1
I express my sincere appreciation🙏 and gratitude to @ThaneCityPolice @DGPMaharashtra and #MaharashtraRTO Officers for maintaining whatever possible sanity on the ravaged Majiwada-KharegaoToll patch.@CMOMaharashtra A little help from PWD is needed @MORTHIndia Pls chk d road cond,0
@TMCaTweetAway I don’t understand why can’t you repair the road on mumbra bridge!! Everyday from majiwada to mankoli and vise versa wasting 3 hours. What is the government and TMC doing. They don’t care about the people. Tax payer money 🤔🙏,1
"@NotMengele @mumbaitraffic @htTweets I believe a major widening (4 lanes to 8 lanes) of the current Majiwada-Wadpe Bhiwandi Bypass, or a greenfield connector from Majiwada to Wadpe is urgently required. Otherwise, it will take 2 hours from Thane to Wadpe (Aamne) (35 km) and 9 hours from Wadpe to Nagpur (700 km) !!",1
@QueenofThane @TMCaTweetAway @TMCaTweetAway - Request you to share list of existing bus routes as well as upcoming/planned bus routes between Majiwada Gaon and Kopri.,0
"@TMCaTweetAway There are too many hungry stray dogs in Lodha Luxuria Majiwada Complex who are physically attacking residents, mainly if one is carrying food items. Dog lovers have put collars around their necks. TMC needs to take action or someone will get seriously bitten.",1
@QueenofThane @ThaneCityPolice Sad how messed up the entire majiwada junction and Kapurbawadi signal is 🤦🏻‍♀️,1
@thanecitypolice can you demolish a wall under Kapurbawdi Flyover in front of Majiwada Gaon road to help ppl coming frm Pokhran-2 Road. See the map if we do this people who want to take U-Turn will go from here instead to going to Kapurbawdi Junction and create traffic ! #mumbai https://t.co/fQwdQFU5fE,1
@PotholeWarriors U talking about #Nasik Just visit #thane - #Majiwada to #Bhivandi #bhiwandi railway station via #Kalher and tell me what you feel Is Metro important or road.!! Street important or metro &amp; road @ShivSena @ShivsenaComms is sleeping... So as #MNS @RajThackeray &amp; @BJP4Maharashtra,0
"@pranaykarwa @nitin_gadkari @mieknathshinde @bbcnewsmarathi @BhaDiPa @AUThackeray I thought of mentioning bhiwandi &amp; kalyan in tweet. Have done that earlier, but our honorable guardian minister of Thane dist didn't seem to notice it. So now marked Majiwada, hoping a spot in Thane city will catch his eye. Btw, I am replying &amp; yet to reach kharigaon toll. 🤭",0
"@ashish280287 @nitin_gadkari @mieknathshinde @bbcnewsmarathi @BhaDiPa @AUThackeray Not just Majiwada, it takes a full 2 hours to get through the entire stretch from Bhiwandi bypass to Majiwada. It has been a recurring problem with no end in sight. It almost feels like punishment for staying in Bhiwandi/Kalyan. :(",1
"@ThaneCityPolice on Majiwada flyover (Nashik arm) since half hour, will someone pls manage traffic",1
Hi @MirchiJeeturaaj we have been sick of the traffic which plagues the stretch between Majiwada and Mankoli on Nashik highway. This critical road connects Kalyan and other satellite towns up north with the mainland. No amount of noise made by common citizens…1/n,1
"Heavy traffic on Nashik Highway, Majiwada golden bridge to Bhiwandi.@ThaneCityPolice @ThaneTraffic it's becoming every day issue.",1
"ONLINE-PLASTIC WASTE POLLUTION AWARENESS PROGRAM and guidance on Plastic, Thermocol &amp; E-Waste Mgmt. By Founder Trustees: Anuja Gupte Hetal Gala &amp; Vikas Nispatdesai for Jaydeep Park, Majiwada-Thane (W) On 4-4-2021 Between 11-11.45 a.m. Co-ordinated by: APB Member-Megha Randive https://t.co/QHtFLakcQ6",0
"@ThaneCityPolice @TMCaTweetAway From North bound side (GB road Side) of MajiWada Flyover to Saket road takes more than 45 min due to traffic jam ahead daily. It’s due to Pathetic road conditions so look forward to immediate work to save time, fuel &amp; reduce pollution",1
@anukadam5283 Thank you Madam for highlighting to TMC. Lodha and Majiwada residents need justice and I will stand by them always.,0
"There are so many complaints from lodha residents related to service road path holes from wavikar hospital to lodha paradise majiwada, but there is no action from officials. Please find attached some communications. @TMCaTweetAway @CurelSachin https://t.co/Ey30PcNbaK",1
"There are so many complaints ftom lodha residents for service road path holes from wavikar hospital to lodha paradise majiwada, but there is no action from officials. Please find attached some communications. https://t.co/Ey30PcNbaK",1
"RT @QueenofThane: Bhiwandi Bypass Road in Majiwada crawls, lots of people suffer because of huge potholes but @MMRDAOfficial wont do anythi…",1
"RT @QueenofThane: Bhiwandi Bypass Road in Majiwada crawls, lots of people suffer because of huge potholes but @MMRDAOfficial wont do anythi…",1
dear @TMCaTweetAway @OfficeofUT @ShivsenaComms its taking 1 hour traffic que from majiwada to dive anjur because of some pathholes on the bridge  entire traffic  move slowley to cross those pathholes kindly repair those so people save their precious time to reach their offices.,1
RT @arvindthe007: @Rtr_kinjal @CMOMaharashtra @PMOIndia @TMCaTweetAway @MPLodha @UpperThane Everyday 4hours on travaing for majiwada to man…,1
"RT @Rtr_kinjal: Game time! Find the road to drive.. Winners will get a peaceful drive from mankoli to majiwada, Mumbai nashik highway, to a…",0
RT @DivyaJotwani: Jam at Majiwada signal in green signal caused by trucks in all lanes. Can @ThaneCityPolice please let us know policy of t…,1
RT @arvindthe007: @Rtr_kinjal @CMOMaharashtra @PMOIndia @TMCaTweetAway @MPLodha @UpperThane Everyday 4hours on travaing for majiwada to manpada.,1
"RT @Rtr_kinjal: Game time! Find the road to drive.. Winners will get a peaceful drive from mankoli to majiwada, Mumbai nashik highway.",0
"@ThaneCityPolice  Just an update, the whole Thane Bhiwandi road was completely choked, causing major jam in Eastern Express and Majiwada junction.(20m+) The quality of road is certainly adding besides 24*7 trucks. We expect some resolution from you. @mumbaitraffic @RoadsOfMumbai",1
"Game time! Find the road to drive.. Winners will get a peaceful drive from mankoli to majiwada, Mumbai nashik highway, to and fro @CPMumbaiPolice @CMOMaharashtra @PMOIndia @TMCaTweetAway @MMRDAOfficial @ThaneCityPolice @Thane_R_Police @LODHA @MPLodha @AUThackeray @UpperThane https://t.co/luARieL0si",0
"@QueenofThane @sachinShingare1 @TMCaTweetAway @SanjayKelkarMLC Yes @sachinShingare1 sir, we badly want Majiwada Gaon to Kopri thane east route !",1
"@sachinShingare1 I live in Majiwada Gaon, Orchids Complex, we know you, you are doing very great job, a small request please tell @TMCaTweetAway  to start a Majiwada Gaon to Kopri Thane east bus, many people want it badly. @SanjayKelkarMLC #mumbai #thane",1
RT @DivyaJotwani: Jam at Majiwada signal in green signal caused by trucks in all lanes. Can @ThaneCityPolice please let us know policy of t…,1
RT @kar_mumbai: @ThaneCityPolice  In heavy traffic on MajiWada flyover -Stuck from last 30 minutes please do something,1
"RT @sachinShingare1: Please look into this issue - boundary wall collapse, water can enter into citizens rooms any time @ Jai Bhavani Nagar…",1
"Please look into this issue - boundary wall collapse, water can enter into citizens rooms any time @ Jai Bhavani Nagar, Majiwada, Thane  @TMCsmartcity @TMCaTweetAway @DigiThane https://t.co/mZKb3G9e8Q",1
"Jam at Majiwada signal in green signal caused by trucks in all lanes. Can @ThaneCityPolice please let us know policy of trucks on GB road? It's causing massive jam, Always. https://t.co/WvXHMzQaRP",1
"@PotholeWarriors @RoadsOfBombay @nitin_gadkari @PMOIndia @CMOMaharashtra @mieknathshinde This is highway just visit From ( #Thane ) #Majiwada to #Bhiwandi railway station via kalher in day or Night Worst road ever,Traffic,  Water logging No street light @MMRDAOfficial @NHAI_Official @TMCaTweetAway @Thane_R_Police @samvadngo @LifeInBhiwandi @BhiwandiMirror",1
@ThaneCityPolice @CMOMaharashtra @AUThackeray @TMCaTweetAway Jupiter hospital majiwada thane to mankoli full jam to cover 5km it takes 60 to 80mins bcoz of bad roads on bridge,1
"@TMCaTweetAway Please carry out mosquito fogging and liquid repellent spary in Nakshatra Galaxy,  Highway Service Road, Majiwada, Thane as recently there were dengue patients found close-by",1
"@nitin_gadkari Just 1km Road Repairing and Potholes filling can save 20 mins for travelling towards Mumbai from Kalyan.Also can save petrol,save environment etc. Loc. Nr. Majiwada Bridge/Thane Creek Bridge It is Agra Mumbai Highway Immediate action for repairing @NHAI_Official https://t.co/51lnbHv8Tm",1
Room On Rent Without Broker In Thane Majiwada Thane - PG in Thane | Paying Guest Accommodation | Co-living Spaces | https://t.co/vFmNaVD4My,0
"@PotholeWarriors @MORTHRoadSafety @KillerRoads @RoadsOfBombay @abpmajhatv Had tried this route today for traveling to Bhiwandi, since there is always huge traffic from Majiwada to Bhiwandi. although there wasn't much traffic on this route but my car needs an immediate servicing and have caught severe back ache. Wonder when will our roads get fixed!",1
RT @sapariya_vishal: Daily Traffic From Majiwada to Mankoli.(mumbai nashik HW) For 10kms it's almost one hour daily comuting. Big container…,1
"@Kintu_Parantu @mulund_info @mybmcBridges @mihirkotecha @mybmcWardT @mybmc @MNCDFbombay @RoadsOfMumbai @mumbaimatterz @IqbalSinghChah2 @PotholeWarriors @sarikapawar5555 @SunilRaut65 @mybmcWardS This is like airport runway if you compare this with Majiwada, Balkum stretch . Ashamed. Wonder why i returned back from abroad",1
RT @QueenofThane: Yesterday a clown did stunt at Majiwada by hopping off on @TMCaTweetAway bus that passed of from @thanecitypolice Kapurba…,0
Heavy traffic in between of majiwada thane to Mankowali on the Nasik express way due to mismanagement of traffic control . Request to stop the heavy vehicle from 06:00 PM to 09:00 PM #cmomaharastra #ChiefMinister #cmoudhavthakare #trafficcontrol #thanetrafficpolice,1
RT @vickyspunjabi: @HopeBhiwandi Yes 6 hours everyday to and fro.. today it took me 3 hrs and 15 mins from Santacruz west to Bhumi world (B…,1
@HopeBhiwandi Yes 6 hours everyday to and fro.. today it took me 3 hrs and 15 mins from Santacruz west to Bhumi world (Bhiwandi) which is on mumbai nashik highway. Traffic jam was from majiwada flyover till mankholi Naka. It's a nightmare..We need some serious help @AUThackeray @CMOMaharashtra,1
RT @ANI: Maharashtra | Two persons were injured in an accident where a truck trailer rammed into an auto-rickshaw on Kapurbawdi-Nashik flyo…,1
@TMCaTweetAway really a grave situation of my city. What is TMC doing . 2 hours to cross 2 kms from majiwada to mankoli. There are no roads only pot holes. There is no value for time . Life has become hell to travel on this roads. Where is the tax money going. God save us,1
Driver said back door is open and one person went to back seat. At Majiwada driver said I will not go to Airoli ..tumi itech utara..and my mother and father came out of car.,0
@TMCsmartcity @ThaneCityPolice @TMCaTweetAway @ThaneCollector @ThaneLive Thanks to your good roads &amp; traffic management...took 1 hour for 3 Haath Naka to Majiwada &amp; worse to come..kuch toh karo https://t.co/bTmsK1B5Eb,1
@OfficeofUT @AUThackeray @TMCaTweetAway @ThaneCityPolice kindly solve this issue everyday it happens from majiwada till Mubra bypass take 1 hour to reach..and real distance 5 to 7 min....very sad situation of thane..kindly repair pathhole or stop trucks ...@voiceofthane https://t.co/lAKnTQg93c,1
RT @asifMVNews: Requesting @TMCaTweetAway to fill this potholes on Lodha Paradise Ashok pohekar Marg near @McDonalds majiwada Thane West.Re…,0
"#1BHK In Lodha Crown, #Majiwada, #Thane West #Apartment #Flat #ForSale #Residential #Property https://t.co/RqDrWuyC2e",0
"RT @rajas_alshi: Despite repeated requests and pleas there's absolutely no action taken by @TMCaTweetAway, @MORTHIndia, @nitin_gadkari.",1
"RT @QueenofThane: @TMCaTweetAway your streetlights at Majiwada &amp; Kapurbawdi Junction are not working, near Ashapura Mandir Bus Stop, lights…",1
"@TMCaTweetAway your streetlights at Majiwada &amp; Kapurbawdi Junction are not working, near Ashapura Mandir Bus Stop, lights are not working Requesting you to replace the old Orange bulbs with LED. It will save your electricity bill as well as give bright light #mumbai #thane",1
Furnished #Apartment in Rustomjee Atelier And Athena #2BHK #Flat #ForSale #Majiwada #Thane #Residential #Property https://t.co/l6YnaLqv6P,0
@TMCaTweetAway @ThaneCityPolice @CMOMaharashtra @AUThackeray Jupiter hospital majiwada thane to Bhiwandi full jam today also,1
"#Maharashtra | Two injured in an accident where a truck trailer rammed into an auto-rickshaw on Kapurbawdi-Nashik flyover, in Majiwada, Thane (West), last night. Injured have been admitted to the hospital: Thane Municipal  Corporation via ANI https://t.co/pZo5ZZ0Xmj",1
@ThaneCityPolice @Gautamthacker This is the same response for all posts on the majiwada mankoli traffic. No improvement though. It's like a template automated answer!,1
"@IndiaPostOffice DCB has send a cheqbook but postman is not delivered. We have contacted Mumbra post office they advised to go Padle post office, I rushed there postman Mr bhavesh patil denied to handover cheqbook and sent courier to  Manpada post office. ET064442978IN",1
"For long two months the water supply is not yet stable in The manorama- Manpada area Runwal-estate. Even raining outside we have scarcity of water in houses, for what reason we need to pay the advance munciple water charges.@ Thane commissioner pl. See and releaf from this issue",1
"@TMCaTweetAway #Hawkers Many of those with carts are seen from Cine wonder to Manpada, Ghodbunder road causing traffic. Kindly have it actioned. Thank you.",1
"@AniketHaldanka1 As per Thane dn when postmen went fordeliveryaddressee was contactedby security guard at society through intercom. However, addressee did not respond. Sointimation was posted on24.08.2021. Said article is at Manpada SO.Kindly approach Manpada SO. Inconvenience caused is regretted",1
"@akguru R/Sir, the article has been delivered at Padle BO under Manpada SO on 21.09.2021. Inconvenience caused is deeply regretted.",0
"@akguru Sir, As reported by SSPO's Thane Division, article under reference was sent to Manpada SO. However, the bag got misplaced. The article was again received at Manpada PO on 20.09.2021 and delivered at Padle BO on 21.09.2021. Inconvenience caused is deeply regretted.",0
"@JioCare 9029400964-jio number 8291369111-alternate number G-4, kothari compound,st Gladys alwaris road, ghodbunder road,Manpada,Thane West 400610-pin code",0
"@BisexperienceM Sir, As reported by SSPO's Thane Division, the article has been delivered at Khoni BO under Manpada SO on 04.09.2021. Inconvenience caused is deeply regretted.",0
@ThaneCityPolice Huge traffic jam from manpada till cinewonder  why can't we follow evening traffic plan ( close the crossing apposite vihang hotel ) this will ease traffic in major way save time and fuel  I don't see logic of signals at this junction@TMCaTweetAway @AUThackeray,1
"RT @sudeshkadam9: I had given a complain at Manpada, Dombivali police station on 11th of this month but on it,there is no single investigat…",1
"I had given a complain at Manpada, Dombivali police station on 11th of this month but on it,there is no single investigation done from Manpada police station.Visited many times at Manpada police station but not given proper answer on complain.Kindly take action asap.",1
"@RunwalOfficial Dear runwal group I have booked falt at dombivali, manpada site on 16th May 2021, but due to covid-19, I have canceled the booking &amp; I have paid booking Amt of Rs.21000/, but redund not received yet, plz do the needful hope u can understand my problem",0
Best PG Facilities In Thane Manpada (9167530999) Thane - PG in Thane | Paying Guest Accommodation | Co-living Spaces | https://t.co/QK7RgLt2mA,0
"@njashu67 Sir, as preveiously replied article has been returned by Padle BO under Manpada SO under remark 'Addressee cannot be located' on 26.08.2021. The article under reference is Aadhar card and the articles are booked from Bangalore, hence same was returned and delivered at Banglore.",1
"Hey @JioCare we more than 200 people are facing serious nw issue could u pls look into it ASAP and pls dont say issue will be resolved withing 180 days Location : Manpada Dombivli  Lat/Long :  19.1875086, 73.0946428",1
"@1988baban Sir, As reported by SSPO's Thane Division, the article under reference has been delivered to the addressee at Manpada PO on 15.09.2021.",0
"@MSEDCL no electricity in happy valley, manpada Thane west....what r u doing?? Respond with the action notfor asking consumer number",1
"@MSEDCL There’s a power cut at Manpada, Thane for more than a hour. And no one is picking up the call from MSEB Manpada office. Please let me know if there’s any update regarding the same.",1
Men / Women Safe And Comfortable PG Near Manpada Thane - PG in Thane | Paying Guest Accommodation | Co-living Spaces | https://t.co/mr1L578eEe,0
"Dear @Awhadspeaks Ji, Please take note of this tweet. There is fraud going on konkan bhavan housing scheme. My dad applied lottery in 2000 i.e. almost 20 years back for house under code 138/139 chitalsar manpada tikujiniwadi and he is one of the winner of the above scheme. https://t.co/fI5xLtyFDl",1
@IndiaPostOffice I booked a speed post EM810685372in from Kharodi 400095 to 421204 for Manpada but it still shows up in Manpada. https://t.co/uyhovk73JG,1
RT @QueenofThane: @TMCaTweetAway there is potholes a foot away on road at Manpada ! #mumbai #thane https://t.co/KvpTEdbK18,1
"RT @QueenofThane: @TMCaTweetAway entire bus stand encroached, where will passengers wait for bus? Sahyog Society, Opp Shubharambh complex,…",1
"@TMCaTweetAway entire bus stand encroached, where will passengers wait for bus? Sahyog Society, Opp Shubharambh complex, next to Happy Valley Complex,  Manpada #mumbai #thane https://t.co/d39i1iLmwD",1
RT @QueenofThane: @TMCaTweetAway there is potholes a foot away on road at Manpada ! #mumbai #thane https://t.co/KvpTEdbK18,1
@TMCaTweetAway there is potholes a foot away on road at Manpada ! #mumbai #thane https://t.co/KvpTEdbK18,1
i had lodge the complaint against the builder in Manpada Police station kalyan dist Thane but police had not taken any action,1
"Please look into this water wastage because we have only 3% drinking water in our earth @KDMCOfficial manpada road ,in front of police commissioner unit 3 https://t.co/NRy5vYK2Ln",1
RT @QueenofThane: Manpada Ghodbunder Road. Everyday 24x7 traffic @thanecitypolice #mumbai #thane https://t.co/OLErIowIhY,1
"Ready to move Furnished #2BHK #Apartment in Kalpataru Hills, #Thane #Flat #ForSale #Manpada #Residential #Property",0
Affordable Paying Guest Options With AC Rooms Available In Manpada Thane - PG in Thane | Paying Guest Accommodation | Co-living Spaces | https://t.co/1FSAiVC8BY,0
"@njashu67 Sir,  As reported by SSPO's Thane Division, the said article has been returned by Padle BO under Manpada SO under remark 'Addressee cannot be located', hence returned on 26.08.2021 and the same has been delivered to the sender (UIDAI) on 30/08/2021 from Bengaluru G.P.O.",0
"RT @QueenofThane: @TMCaTweetAway this is the state of your ""MMRDA building"" in chitalsar, Manpada #mumbai #thane https://t.co/ylHLwhuVUz",1
"@TMCaTweetAway this is the state of your ""MMRDA building"" in chitalsar, Manpada #mumbai #thane https://t.co/ylHLwhuVUz",0
@IndiaPostOffice CK042378677IN with Destination Pin 421204 (Manpada SO). Dispatched from Vishnunagar SO on 14th Sep. But on 15th Sep it reached to Nashik Road HO. how come the parcel which supposed to reach Manpada SO has reached Nashik Road HO? @AshwiniVaishnaw @cpmgmaharashtra,1
@IndiaPostOffice My consignment no. EN411005954IN reached Mumbai manpada  on 14 September 2021 but not yet delivered to my address.  Also on online tracking no updates available post 14th September. Please do the needful,1
@IndiaPostOffice I have tring the post office number no one is reciving call it's manpada in dombivili ..please very urgent don't know where to call #PMOIndia,1
"@TMCaTweetAway This tree is fallen last 2 month back in heavy monsoon but still no official have been sent to cut and remove this, pl send someone. Location:- Manpada, Shivaji nagar near Santoshi mata temple behind welcome bar Thane West 400607. https://t.co/iMgN7rBTn8",1
Room On Rent Without Broker In Thane West Manpada Thane - PG in Thane | Paying Guest Accommodation | Co-living Spaces | https://t.co/xNFzpmXnOv,0
"@MumbaiRTO @advanilparab Sir, prebooked uber on sunday 12/09/21 at 0900am for ride from manpada to khar for rs 500 to rs 625 (App showed range) for ride at 1030 AM But was asked to pay rs 1062 at destination . when protested driver said will call a police. Later accepted rs 530",1
"@Gokul_Dairy @PMOIndia Last 15days we are not getting proper milk packets (Gokul Special) &amp; we get bad smell &amp; bad taste from it &amp; might be it is not pure so please check the same &amp; Location is at Dombivali East, Near Jupiter Plaza or Near Vijaya Bank,Manpada Road Pincode 421201?",1
"RT @rachel_aby: @MSEDCL @CMDMSEDCL @Sekalyan1 Power outage yet another day in Chera Nagar, Manpada Road, Dombivali (E) since 7:30am &amp; still…",1
"@MSEDCL @CMDMSEDCL @Sekalyan1 Power outage yet another day in Chera Nagar, Manpada Road, Dombivali (E) since 7:30am &amp; still not restored yet!  You have any idea the amount of hassle that we common residents are going through?  @KDMCOfficial @AmhiDombivlikar @kalyan_news https://t.co/RSUy7LIjFi",1
@ThaneCityPolice @MumbaiPolice @DGPMaharashtra @Palghar_Police @Navimumpolice @TMCaTweetAway @KDMCOfficial @RaigadPolice @Thane_R_Police @DigiThane Congrats team of Police officals of Manpada police station,0
"RT @bhimraowagmare: @TMCaTweetAway @TMCsmartcity Dear sir, please note there is huge pot hole on highway while going towrds Manpada from T…",1
"@TMCaTweetAway @TMCsmartcity Dear sir, please note there is huge pot hole on highway while going towrds Manpada from Tatwadyan Vidyapeeth,  it may result in very risky and an accident spot for bikers. Please fill the potholes https://t.co/Tyd2ArDwe8",1
"The Dombivli-Manpada police arrested four accused including a minor for allegedly killing a 48-year-old man and dumping him in an injured state at Katemanivli area in Kalyan, on September 11 (@anamikasgharat reports) https://t.co/m3EghFM4Iq",1
"@OfficeofUT @TMCaTweetAway @AUThackeray  Uddhav Sir, with folded hands requesting you to pls travel once by road from manpada to bhayandarpada in thane city and return from same route. Condition of roads in this patch is really pathetic and we general people gets suffered daily.",1
@MSEDCL Power cut since morning 7 AM in Dombivli East Manpada area. It was supposed to be restored by 4PM. What is the issue and by when can we expect power to be restored?,1
"@MSEDCL @CMOMaharashtra @KDMCOfficial - No electricity in the Sagaon, Manpada Road, Dombivli East area since 7am in the morning till now. How are we supposed to work from home? Instead of advancing towards better basic necessities, this area is getting worse and worse day by day.",1
@SonuSood We met with accident on 12 Sept’21 @ Thane Manpada Godbhandar road. In this accident my grandmother got internal injuries in brain and lung fractured.Plz help we don’t have sufficient amount to give her hospitalised treatment.Mob:9930982877 @SoodFoundation @FcSonuSood @SonuSood https://t.co/YAOCugF9t5,0
@IndiaPostOffice Consignment Status showing Item received by Manpada Post office on 14 Sep 2021 but delivery not yet done Please check this Consignment Number PP240491008IN,1
"RT @birjugoswami: @AjitPawarSpeaks @PawarSpeaks  Dear sirs please make sure transportation of palav city to  Mumbai location , we are very…",1
RT @birjugoswami: @OfficeofUT @AUThackeray  please make sure Good road in between Dombivali East to Manpada D mart and Palava phase 2 . which are in poor conditions,1
"@AjitPawarSpeaks @PawarSpeaks  Dear sirs please make sure transportation of palav city to  Mumbai location , we are very much worry and specially Dombivali east rly station to Manpada D mart road . which can be accidental road.",1
@OfficeofUT @AUThackeray  please make sure Good road in between Dombivali East to Manpada D mart and Palava phase 2 . which is very horrible condition and change for accident,1
RoadRash to Road rush...30 percent of  roads in dombivli are like this or worst than this...This is Manpada road..requesting @smart_kdmc @KDMCOfficial @AmhiDombivlikar @AUThackeray @OfficeofUT to look into this @abpmajhatv @saamTVnews @zee24taasnews https://t.co/B9qBjhiEuz,1
Standing inside manpada B. O. To collect my package only to know that we can't collect package in person. Online tracking shows package stuck here since 11th. They gave number of regional post office head who disconnects calls. What now?,1
"@SkyKing_Courier very pathetic behavior of staffs specially Mr. RAJ Chowdhury as displayed in true caller of Manpada branch(421204). They r saying ""aapke pas shayad bohut time hoga, humare pass time waste karne ke liye time nehi hai"" . Is this the way u trained ur people to talk",0
@KDMCOfficial @CMOMaharashtra @nitin_gadkari @mieknathshinde  ''Manpada Road'' from Dombivali East upto Manpada chowk is in very pathetic conditions. Pits are many more and filled with waters. Its difficult to find road. Everyday issues faced by many commuters. Please look into.,1
"Enjoy price drops, get cashbacks &amp; avail exclusive exchange offers on the #OnePlus9R. Call 88280 99999. #Mobiles #OnePlus #Latest #Thane #Ghodbunder #TembhiNaka #Naupada #Finance #Deals #Discounts #BajajFinance #Exchange #Cashbacks https://t.co/48NwP4ipvi",0
RT @VagariesWeather: #Thane district rainfall ending at 8:30am on 22/09/2021(in mm): #Titwala:119 #Kalyan:76 #Ambernath:71 #Bhiwandi:70 #U…,1
RT @WeatherGeoMH: #Naupada #Thane crossed 3500mm mark for annual rains till today,0
Its Mini &amp; its awesome. Grab the best deals on the #iPhone13 with JK Next. Call 88280 99999. #Mobiles #Apple #NewLaunches #Thane #Ghodbunder #TembhiNaka #Naupada #Finance #Deals #Discounts #BajajFinance #Exchange #Cashbacks https://t.co/Wol1ED3ct4,0
#Naupada #Thane crossed 3500mm mark for annual rains till today,0
Samsung Galaxy S20 FE · Display 6.50-inch (1080x2400)  · Front Camera 32MP · Rear Camera 12MP + 12MP + 8MP · RAM 8GB · Storage 128GB. Call 88280 99999. #Mobiles #Samsung #Latest #Thane #Ghodbunder #TembhiNaka #Naupada #Finance #Deals #Discounts #BajajFinance #Exchange #Cashbacks https://t.co/AFxmUkxcIo,0
"@MSEDCL Sir, why r u asking for consumer number &amp; contact number when the problem is not person-specific but pertains to a large geographical area like Naupada?",0
@mieknathshinde @SanjayKelkarMLC @MAHAVITARAN @Awhadspeaks No power for 5 hours now in Naupada. What’s happening?,1
.@MSEDCL Power outage in Naupada (Thane West) area since early morning today. Your contact number 022-25333411 is continuously busy. What exactly is the cause of the outage? Any major issue?,1
"RT @JKNextMobiles: Pre-Order the biggest Pro in everything, the iPhone 13 Pro Series, at JK Next. Now, you too get to be a Pro at everythin…",0
RT @JKNextMobiles: Be a proud owner of the new #iPad &amp; avail exclusive offers with JK Next. Call 88280 99999. #Tablet #Apple #NewLaunches #…,0
"Just posted a photo @ Panch Pakhadi, Thane https://t.co/K2cQZfr1Mg",0
"RT @MandarSawant184: In Maharashtra, BJP = Hardcore Hindutva wadi Sena = Issue based Hindutva wadi NCP = Soft Hindutva practitioner  That…",0
RT @sunillchugh: What’s Happening Why everyday morning we get traffic from Patlipada to Fountain Hotel? Why this cannot be managed properly…,1
What’s Happening Why everyday morning we get traffic from Patlipada to Fountain Hotel? Why this cannot be managed properly? Road condition is really very bad it starts from Fountain Hotel till Kasarvadavali? Please look into it. Evening time no street Lights.  #ThaneTraffic,1
"@TMCaTweetAway all hawkers  their original place,creating nusancw,unclean surrounding n health https://t.co/bbhj0e26rV n privacy at stake! n unfortunately they dare 2 do it right in front of thane municipal commissioner bunglow,patlipada! Do these hawkers have no fear left? https://t.co/r8LvBgNPqX",1
"@TMCaTweetAway N  unfortunately they dare to do it right in front of thane municipal commissioner bunglow,patlipada ! Requesting respected commissioner n tmc to please help🙏🙏🙏",1
"If you need to have an off roading experience do visit Patlipada, Waghbil, Anand Nagar area. The internal roads as well as the service roads are built to give you the experience and help you maintain the vehicle regular for break down. @TMCaTweetAway @TMCsmartcity @DigiThane https://t.co/xiqpupVGLp",1
@ThaneCityPolice We are literally fed uo of harassment by the traffic police officer for towing 2 wheelers from front of Swastik Plaza pokhran road no. 2... They r picking up vehicles even if parked properly @ThaneCityPolice @TMCaTweetAway @Thanekars_ @ThaneTaxPayer @WeAreThane,1
RT @QueenofThane: @thanecitypolice can you demolish a wall under Kapurbawdi Flyover in front of Majiwada Gaon road to help ppl coming frm P…,1
@thanecitypolice can you demolish a wall under Kapurbawdi Flyover in front of Majiwada Gaon road to help ppl coming frm Pokhran-2 Road. See the map if we do this people who want to take U-Turn will go from here instead to going to Kapurbawdi Junction and create traffic ! #mumbai https://t.co/fQwdQFU5fE,1
"Shapoorji Pallonji Northern Lights At Pokhran Road 2, Thane | Your World...  https://t.co/KRKyOo1koc via @YouTube #ShapoorjiPallonjiThane #ShapoorjiNorthernLights #ShapoorjiNorthernLightsThane #ShapoorjiNorthernThane",0
